{'PRODUCTO': ' 1', 'TRANSACCION': '1'}
{'PRODUCTO': ' 1', 'TRANSACCION': '2'}
{'PRODUCTO': ' 1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': ' 1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': ' 1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': ' 1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': ' 1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': ' 1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': ' 1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': '1', 'CANTIDAD': '19', 'TRANSACCION': '3'}
{'PRODUCTO': '1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': '1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': '1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': '1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': '1', 'CANTIDAD': '10', 'TRANSACCION': '3'}
{'PRODUCTO': '1', 'CANTIDAD': '5', 'TRANSACCION': '4'}
{'PRODUCTO': '1', 'CANTIDAD': '20', 'TRANSACCION': '5'}
{'PRODUCTO': '1', 'CANTIDAD': '5', 'TRANSACCION': '6'}
{'PRODUCTO': '1', 'CANTIDAD': '10', 'TRANSACCION': '7'}
{'PRODUCTO': '1', 'CANTIDAD': '100', 'TRANSACCION': '8'}
{'PRODUCTO': '1', 'CANTIDAD': '120', 'TRANSACCION': '9'}
{'PRODUCTO': '2', 'CANTIDAD': '100', 'TRANSACCION': '10'}
{'PRODUCTO': '2', 'CANTIDAD': '10', 'TRANSACCION': '10'}
{'PRODUCTO': '2', 'CANTIDAD': '10', 'TRANSACCION': '10'}
{'PRODUCTO': 'Pintura de oleo cafe, 1', 'CANTIDAD': '59', 'TRANSACCION': '11'}
{'PRODUCTO': '2', 'CANTIDAD': '50', 'TRANSACCION': '11'}
{'PRODUCTO': '3', 'CANTIDAD': '100', 'TRANSACCION': '12'}
{'PRODUCTO': '2', 'CANTIDAD': '10', 'TRANSACCION': '12'}
{'PRODUCTO': '3', 'CANTIDAD': '100', 'TRANSACCION': '12'}
{'PRODUCTO': '3', 'CANTIDAD': '100', 'TRANSACCION': '12'}
{'PRODUCTO': '3', 'CANTIDAD': '100', 'TRANSACCION': '12'}
{'PRODUCTO': '2', 'CANTIDAD': '500', 'TRANSACCION': '12'}
{'PRODUCTO': '3', 'CANTIDAD': '100', 'TRANSACCION': '13'}
{'PRODUCTO': '3', 'CANTIDAD': '1', 'TRANSACCION': '14'}
{'PRODUCTO': '3', 'CANTIDAD': '100', 'TRANSACCION': '15'}
